device,storage,scenario,implementation,scheduler_threads,elapsed_time(ms)
omen,maps,r,central,1,58.0
omen,maps,r,central,10,61.0
omen,maps,r,central,11,59.0
omen,maps,r,central,12,59.0
omen,maps,r,central,13,60.0
omen,maps,r,central,14,61.0
omen,maps,r,central,15,59.0
omen,maps,r,central,16,60.0
omen,maps,r,central,17,63.0
omen,maps,r,central,18,59.0
omen,maps,r,central,19,60.0
omen,maps,r,central,2,60.0
omen,maps,r,central,20,60.0
omen,maps,r,central,21,61.0
omen,maps,r,central,22,60.0
omen,maps,r,central,23,59.0
omen,maps,r,central,24,61.0
omen,maps,r,central,25,61.0
omen,maps,r,central,26,60.0
omen,maps,r,central,27,60.0
omen,maps,r,central,28,61.0
omen,maps,r,central,29,61.0
omen,maps,r,central,3,58.0
omen,maps,r,central,30,60.0
omen,maps,r,central,31,59.0
omen,maps,r,central,32,61.0
omen,maps,r,central,33,60.0
omen,maps,r,central,34,61.0
omen,maps,r,central,35,61.0
omen,maps,r,central,36,60.0
omen,maps,r,central,37,60.0
omen,maps,r,central,38,62.0
omen,maps,r,central,39,59.0
omen,maps,r,central,4,58.0
omen,maps,r,central,40,61.0
omen,maps,r,central,41,60.0
omen,maps,r,central,42,61.0
omen,maps,r,central,43,61.0
omen,maps,r,central,44,61.0
omen,maps,r,central,45,61.0
omen,maps,r,central,46,62.0
omen,maps,r,central,47,61.0
omen,maps,r,central,48,60.0
omen,maps,r,central,49,60.0
omen,maps,r,central,5,59.0
omen,maps,r,central,50,62.0
omen,maps,r,central,51,60.0
omen,maps,r,central,52,60.0
omen,maps,r,central,53,60.0
omen,maps,r,central,54,62.0
omen,maps,r,central,55,61.0
omen,maps,r,central,56,62.0
omen,maps,r,central,57,59.0
omen,maps,r,central,58,60.0
omen,maps,r,central,59,61.0
omen,maps,r,central,6,60.0
omen,maps,r,central,60,61.0
omen,maps,r,central,61,60.0
omen,maps,r,central,62,60.0
omen,maps,r,central,63,60.0
omen,maps,r,central,64,60.0
omen,maps,r,central,7,61.0
omen,maps,r,central,8,60.0
omen,maps,r,central,9,60.0
omen,maps,r,shard,1,42.0
omen,maps,r,shard,10,42.0
omen,maps,r,shard,11,45.0
omen,maps,r,shard,12,42.0
omen,maps,r,shard,13,42.0
omen,maps,r,shard,14,42.0
omen,maps,r,shard,15,42.0
omen,maps,r,shard,16,43.0
omen,maps,r,shard,17,42.0
omen,maps,r,shard,18,43.0
omen,maps,r,shard,19,44.0
omen,maps,r,shard,2,41.0
omen,maps,r,shard,20,42.0
omen,maps,r,shard,21,42.0
omen,maps,r,shard,22,43.0
omen,maps,r,shard,23,43.0
omen,maps,r,shard,24,43.0
omen,maps,r,shard,25,42.0
omen,maps,r,shard,26,43.0
omen,maps,r,shard,27,42.0
omen,maps,r,shard,28,42.0
omen,maps,r,shard,29,44.0
omen,maps,r,shard,3,42.0
omen,maps,r,shard,30,43.0
omen,maps,r,shard,31,43.0
omen,maps,r,shard,32,43.0
omen,maps,r,shard,33,43.0
omen,maps,r,shard,34,43.0
omen,maps,r,shard,35,104.0
omen,maps,r,shard,36,44.0
omen,maps,r,shard,37,43.0
omen,maps,r,shard,38,42.0
omen,maps,r,shard,39,43.0
omen,maps,r,shard,4,43.0
omen,maps,r,shard,40,42.0
omen,maps,r,shard,41,43.0
omen,maps,r,shard,42,43.0
omen,maps,r,shard,43,43.0
omen,maps,r,shard,44,43.0
omen,maps,r,shard,45,43.0
omen,maps,r,shard,46,45.0
omen,maps,r,shard,47,43.0
omen,maps,r,shard,48,44.0
omen,maps,r,shard,49,44.0
omen,maps,r,shard,5,43.0
omen,maps,r,shard,50,43.0
omen,maps,r,shard,51,44.0
omen,maps,r,shard,52,43.0
omen,maps,r,shard,53,43.0
omen,maps,r,shard,54,44.0
omen,maps,r,shard,55,45.0
omen,maps,r,shard,56,45.0
omen,maps,r,shard,57,44.0
omen,maps,r,shard,58,43.0
omen,maps,r,shard,59,45.0
omen,maps,r,shard,6,42.0
omen,maps,r,shard,60,42.0
omen,maps,r,shard,61,42.0
omen,maps,r,shard,62,44.0
omen,maps,r,shard,63,45.0
omen,maps,r,shard,64,45.0
omen,maps,r,shard,7,42.0
omen,maps,r,shard,8,43.0
omen,maps,r,shard,9,43.0
omen,maps,r,work,1,41.0
omen,maps,r,work,10,43.0
omen,maps,r,work,11,44.0
omen,maps,r,work,12,43.0
omen,maps,r,work,13,43.0
omen,maps,r,work,14,43.0
omen,maps,r,work,15,44.0
omen,maps,r,work,16,42.0
omen,maps,r,work,17,43.0
omen,maps,r,work,18,43.0
omen,maps,r,work,19,44.0
omen,maps,r,work,2,42.0
omen,maps,r,work,20,45.0
omen,maps,r,work,21,44.0
omen,maps,r,work,22,42.0
omen,maps,r,work,23,42.0
omen,maps,r,work,24,44.0
omen,maps,r,work,25,42.0
omen,maps,r,work,26,42.0
omen,maps,r,work,27,44.0
omen,maps,r,work,28,43.0
omen,maps,r,work,29,43.0
omen,maps,r,work,3,43.0
omen,maps,r,work,30,43.0
omen,maps,r,work,31,43.0
omen,maps,r,work,32,44.0
omen,maps,r,work,33,44.0
omen,maps,r,work,34,44.0
omen,maps,r,work,35,44.0
omen,maps,r,work,36,42.0
omen,maps,r,work,37,43.0
omen,maps,r,work,38,44.0
omen,maps,r,work,39,44.0
omen,maps,r,work,4,43.0
omen,maps,r,work,40,44.0
omen,maps,r,work,41,44.0
omen,maps,r,work,42,44.0
omen,maps,r,work,43,44.0
omen,maps,r,work,44,45.0
omen,maps,r,work,45,44.0
omen,maps,r,work,46,44.0
omen,maps,r,work,47,43.0
omen,maps,r,work,48,44.0
omen,maps,r,work,49,44.0
omen,maps,r,work,5,43.0
omen,maps,r,work,50,43.0
omen,maps,r,work,51,44.0
omen,maps,r,work,52,44.0
omen,maps,r,work,53,44.0
omen,maps,r,work,54,43.0
omen,maps,r,work,55,44.0
omen,maps,r,work,56,44.0
omen,maps,r,work,57,46.0
omen,maps,r,work,58,45.0
omen,maps,r,work,59,44.0
omen,maps,r,work,6,44.0
omen,maps,r,work,60,43.0
omen,maps,r,work,61,43.0
omen,maps,r,work,62,44.0
omen,maps,r,work,63,44.0
omen,maps,r,work,64,44.0
omen,maps,r,work,7,42.0
omen,maps,r,work,8,43.0
omen,maps,r,work,9,42.0
omen,maps,rw,central,1,59.0
omen,maps,rw,central,10,60.0
omen,maps,rw,central,11,60.0
omen,maps,rw,central,12,61.0
omen,maps,rw,central,13,61.0
omen,maps,rw,central,14,60.0
omen,maps,rw,central,15,60.0
omen,maps,rw,central,16,60.0
omen,maps,rw,central,17,60.0
omen,maps,rw,central,18,62.0
omen,maps,rw,central,19,61.0
omen,maps,rw,central,2,59.0
omen,maps,rw,central,20,60.0
omen,maps,rw,central,21,61.0
omen,maps,rw,central,22,61.0
omen,maps,rw,central,23,60.0
omen,maps,rw,central,24,61.0
omen,maps,rw,central,25,62.0
omen,maps,rw,central,26,60.0
omen,maps,rw,central,27,60.0
omen,maps,rw,central,28,60.0
omen,maps,rw,central,29,60.0
omen,maps,rw,central,3,60.0
omen,maps,rw,central,30,59.0
omen,maps,rw,central,31,60.0
omen,maps,rw,central,32,61.0
omen,maps,rw,central,33,61.0
omen,maps,rw,central,34,60.0
omen,maps,rw,central,35,61.0
omen,maps,rw,central,36,59.0
omen,maps,rw,central,37,61.0
omen,maps,rw,central,38,59.0
omen,maps,rw,central,39,60.0
omen,maps,rw,central,4,60.0
omen,maps,rw,central,40,60.0
omen,maps,rw,central,41,62.0
omen,maps,rw,central,42,60.0
omen,maps,rw,central,43,59.0
omen,maps,rw,central,44,61.0
omen,maps,rw,central,45,61.0
omen,maps,rw,central,46,59.0
omen,maps,rw,central,47,61.0
omen,maps,rw,central,48,60.0
omen,maps,rw,central,49,62.0
omen,maps,rw,central,5,60.0
omen,maps,rw,central,50,61.0
omen,maps,rw,central,51,60.0
omen,maps,rw,central,52,61.0
omen,maps,rw,central,53,60.0
omen,maps,rw,central,54,61.0
omen,maps,rw,central,55,61.0
omen,maps,rw,central,56,60.0
omen,maps,rw,central,57,61.0
omen,maps,rw,central,58,61.0
omen,maps,rw,central,59,59.0
omen,maps,rw,central,6,59.0
omen,maps,rw,central,60,60.0
omen,maps,rw,central,61,60.0
omen,maps,rw,central,62,61.0
omen,maps,rw,central,63,61.0
omen,maps,rw,central,64,61.0
omen,maps,rw,central,7,61.0
omen,maps,rw,central,8,60.0
omen,maps,rw,central,9,60.0
omen,maps,rw,shard,1,41.0
omen,maps,rw,shard,10,43.0
omen,maps,rw,shard,11,44.0
omen,maps,rw,shard,12,43.0
omen,maps,rw,shard,13,42.0
omen,maps,rw,shard,14,43.0
omen,maps,rw,shard,15,42.0
omen,maps,rw,shard,16,43.0
omen,maps,rw,shard,17,43.0
omen,maps,rw,shard,18,43.0
omen,maps,rw,shard,19,42.0
omen,maps,rw,shard,2,43.0
omen,maps,rw,shard,20,43.0
omen,maps,rw,shard,21,44.0
omen,maps,rw,shard,22,42.0
omen,maps,rw,shard,23,42.0
omen,maps,rw,shard,24,42.0
omen,maps,rw,shard,25,43.0
omen,maps,rw,shard,26,45.0
omen,maps,rw,shard,27,43.0
omen,maps,rw,shard,28,42.0
omen,maps,rw,shard,29,43.0
omen,maps,rw,shard,3,42.0
omen,maps,rw,shard,30,43.0
omen,maps,rw,shard,31,44.0
omen,maps,rw,shard,32,43.0
omen,maps,rw,shard,33,43.0
omen,maps,rw,shard,34,43.0
omen,maps,rw,shard,35,43.0
omen,maps,rw,shard,36,43.0
omen,maps,rw,shard,37,43.0
omen,maps,rw,shard,38,44.0
omen,maps,rw,shard,39,43.0
omen,maps,rw,shard,4,43.0
omen,maps,rw,shard,40,43.0
omen,maps,rw,shard,41,43.0
omen,maps,rw,shard,42,45.0
omen,maps,rw,shard,43,43.0
omen,maps,rw,shard,44,43.0
omen,maps,rw,shard,45,43.0
omen,maps,rw,shard,46,45.0
omen,maps,rw,shard,47,44.0
omen,maps,rw,shard,48,46.0
omen,maps,rw,shard,49,43.0
omen,maps,rw,shard,5,43.0
omen,maps,rw,shard,50,44.0
omen,maps,rw,shard,51,45.0
omen,maps,rw,shard,52,44.0
omen,maps,rw,shard,53,44.0
omen,maps,rw,shard,54,44.0
omen,maps,rw,shard,55,44.0
omen,maps,rw,shard,56,45.0
omen,maps,rw,shard,57,44.0
omen,maps,rw,shard,58,44.0
omen,maps,rw,shard,59,43.0
omen,maps,rw,shard,6,43.0
omen,maps,rw,shard,60,42.0
omen,maps,rw,shard,61,44.0
omen,maps,rw,shard,62,45.0
omen,maps,rw,shard,63,45.0
omen,maps,rw,shard,64,44.0
omen,maps,rw,shard,7,44.0
omen,maps,rw,shard,8,42.0
omen,maps,rw,shard,9,42.0
omen,maps,rw,work,1,44.0
omen,maps,rw,work,10,43.0
omen,maps,rw,work,11,43.0
omen,maps,rw,work,12,43.0
omen,maps,rw,work,13,44.0
omen,maps,rw,work,14,43.0
omen,maps,rw,work,15,46.0
omen,maps,rw,work,16,43.0
omen,maps,rw,work,17,44.0
omen,maps,rw,work,18,42.0
omen,maps,rw,work,19,41.0
omen,maps,rw,work,2,41.0
omen,maps,rw,work,20,44.0
omen,maps,rw,work,21,43.0
omen,maps,rw,work,22,43.0
omen,maps,rw,work,23,43.0
omen,maps,rw,work,24,42.0
omen,maps,rw,work,25,43.0
omen,maps,rw,work,26,43.0
omen,maps,rw,work,27,44.0
omen,maps,rw,work,28,45.0
omen,maps,rw,work,29,43.0
omen,maps,rw,work,3,43.0
omen,maps,rw,work,30,43.0
omen,maps,rw,work,31,44.0
omen,maps,rw,work,32,41.0
omen,maps,rw,work,33,43.0
omen,maps,rw,work,34,42.0
omen,maps,rw,work,35,44.0
omen,maps,rw,work,36,43.0
omen,maps,rw,work,37,42.0
omen,maps,rw,work,38,43.0
omen,maps,rw,work,39,42.0
omen,maps,rw,work,4,42.0
omen,maps,rw,work,40,44.0
omen,maps,rw,work,41,43.0
omen,maps,rw,work,42,45.0
omen,maps,rw,work,43,42.0
omen,maps,rw,work,44,44.0
omen,maps,rw,work,45,45.0
omen,maps,rw,work,46,45.0
omen,maps,rw,work,47,45.0
omen,maps,rw,work,48,43.0
omen,maps,rw,work,49,43.0
omen,maps,rw,work,5,43.0
omen,maps,rw,work,50,42.0
omen,maps,rw,work,51,45.0
omen,maps,rw,work,52,45.0
omen,maps,rw,work,53,45.0
omen,maps,rw,work,54,45.0
omen,maps,rw,work,55,44.0
omen,maps,rw,work,56,44.0
omen,maps,rw,work,57,44.0
omen,maps,rw,work,58,44.0
omen,maps,rw,work,59,44.0
omen,maps,rw,work,6,42.0
omen,maps,rw,work,60,45.0
omen,maps,rw,work,61,45.0
omen,maps,rw,work,62,44.0
omen,maps,rw,work,63,45.0
omen,maps,rw,work,64,44.0
omen,maps,rw,work,7,43.0
omen,maps,rw,work,8,43.0
omen,maps,rw,work,9,44.0
omen,maps,mix,central,1,60.0
omen,maps,mix,central,10,59.0
omen,maps,mix,central,11,66.0
omen,maps,mix,central,12,60.0
omen,maps,mix,central,13,61.0
omen,maps,mix,central,14,62.0
omen,maps,mix,central,15,60.0
omen,maps,mix,central,16,59.0
omen,maps,mix,central,17,62.0
omen,maps,mix,central,18,61.0
omen,maps,mix,central,19,60.0
omen,maps,mix,central,2,60.0
omen,maps,mix,central,20,60.0
omen,maps,mix,central,21,60.0
omen,maps,mix,central,22,61.0
omen,maps,mix,central,23,60.0
omen,maps,mix,central,24,59.0
omen,maps,mix,central,25,63.0
omen,maps,mix,central,26,60.0
omen,maps,mix,central,27,60.0
omen,maps,mix,central,28,60.0
omen,maps,mix,central,29,60.0
omen,maps,mix,central,3,58.0
omen,maps,mix,central,30,60.0
omen,maps,mix,central,31,60.0
omen,maps,mix,central,32,60.0
omen,maps,mix,central,33,60.0
omen,maps,mix,central,34,62.0
omen,maps,mix,central,35,61.0
omen,maps,mix,central,36,59.0
omen,maps,mix,central,37,59.0
omen,maps,mix,central,38,60.0
omen,maps,mix,central,39,60.0
omen,maps,mix,central,4,61.0
omen,maps,mix,central,40,59.0
omen,maps,mix,central,41,59.0
omen,maps,mix,central,42,59.0
omen,maps,mix,central,43,60.0
omen,maps,mix,central,44,59.0
omen,maps,mix,central,45,59.0
omen,maps,mix,central,46,60.0
omen,maps,mix,central,47,62.0
omen,maps,mix,central,48,60.0
omen,maps,mix,central,49,62.0
omen,maps,mix,central,5,60.0
omen,maps,mix,central,50,61.0
omen,maps,mix,central,51,60.0
omen,maps,mix,central,52,61.0
omen,maps,mix,central,53,59.0
omen,maps,mix,central,54,61.0
omen,maps,mix,central,55,62.0
omen,maps,mix,central,56,60.0
omen,maps,mix,central,57,61.0
omen,maps,mix,central,58,62.0
omen,maps,mix,central,59,62.0
omen,maps,mix,central,6,60.0
omen,maps,mix,central,60,61.0
omen,maps,mix,central,61,59.0
omen,maps,mix,central,62,60.0
omen,maps,mix,central,63,61.0
omen,maps,mix,central,64,60.0
omen,maps,mix,central,7,60.0
omen,maps,mix,central,8,61.0
omen,maps,mix,central,9,60.0
omen,maps,mix,shard,1,41.0
omen,maps,mix,shard,10,44.0
omen,maps,mix,shard,11,42.0
omen,maps,mix,shard,12,43.0
omen,maps,mix,shard,13,44.0
omen,maps,mix,shard,14,43.0
omen,maps,mix,shard,15,43.0
omen,maps,mix,shard,16,44.0
omen,maps,mix,shard,17,43.0
omen,maps,mix,shard,18,43.0
omen,maps,mix,shard,19,42.0
omen,maps,mix,shard,2,41.0
omen,maps,mix,shard,20,44.0
omen,maps,mix,shard,21,43.0
omen,maps,mix,shard,22,43.0
omen,maps,mix,shard,23,42.0
omen,maps,mix,shard,24,43.0
omen,maps,mix,shard,25,43.0
omen,maps,mix,shard,26,43.0
omen,maps,mix,shard,27,43.0
omen,maps,mix,shard,28,43.0
omen,maps,mix,shard,29,45.0
omen,maps,mix,shard,3,43.0
omen,maps,mix,shard,30,41.0
omen,maps,mix,shard,31,44.0
omen,maps,mix,shard,32,43.0
omen,maps,mix,shard,33,44.0
omen,maps,mix,shard,34,42.0
omen,maps,mix,shard,35,44.0
omen,maps,mix,shard,36,44.0
omen,maps,mix,shard,37,42.0
omen,maps,mix,shard,38,44.0
omen,maps,mix,shard,39,44.0
omen,maps,mix,shard,4,43.0
omen,maps,mix,shard,40,43.0
omen,maps,mix,shard,41,41.0
omen,maps,mix,shard,42,43.0
omen,maps,mix,shard,43,42.0
omen,maps,mix,shard,44,43.0
omen,maps,mix,shard,45,43.0
omen,maps,mix,shard,46,42.0
omen,maps,mix,shard,47,43.0
omen,maps,mix,shard,48,44.0
omen,maps,mix,shard,49,43.0
omen,maps,mix,shard,5,43.0
omen,maps,mix,shard,50,43.0
omen,maps,mix,shard,51,44.0
omen,maps,mix,shard,52,44.0
omen,maps,mix,shard,53,45.0
omen,maps,mix,shard,54,43.0
omen,maps,mix,shard,55,43.0
omen,maps,mix,shard,56,43.0
omen,maps,mix,shard,57,44.0
omen,maps,mix,shard,58,44.0
omen,maps,mix,shard,59,44.0
omen,maps,mix,shard,6,42.0
omen,maps,mix,shard,60,44.0
omen,maps,mix,shard,61,43.0
omen,maps,mix,shard,62,45.0
omen,maps,mix,shard,63,47.0
omen,maps,mix,shard,64,44.0
omen,maps,mix,shard,7,43.0
omen,maps,mix,shard,8,42.0
omen,maps,mix,shard,9,43.0
omen,maps,mix,work,1,43.0
omen,maps,mix,work,10,44.0
omen,maps,mix,work,11,45.0
omen,maps,mix,work,12,43.0
omen,maps,mix,work,13,43.0
omen,maps,mix,work,14,44.0
omen,maps,mix,work,15,43.0
omen,maps,mix,work,16,44.0
omen,maps,mix,work,17,42.0
omen,maps,mix,work,18,43.0
omen,maps,mix,work,19,43.0
omen,maps,mix,work,2,43.0
omen,maps,mix,work,20,43.0
omen,maps,mix,work,21,42.0
omen,maps,mix,work,22,45.0
omen,maps,mix,work,23,44.0
omen,maps,mix,work,24,43.0
omen,maps,mix,work,25,43.0
omen,maps,mix,work,26,43.0
omen,maps,mix,work,27,43.0
omen,maps,mix,work,28,43.0
omen,maps,mix,work,29,44.0
omen,maps,mix,work,3,43.0
omen,maps,mix,work,30,43.0
omen,maps,mix,work,31,43.0
omen,maps,mix,work,32,44.0
omen,maps,mix,work,33,44.0
omen,maps,mix,work,34,43.0
omen,maps,mix,work,35,42.0
omen,maps,mix,work,36,44.0
omen,maps,mix,work,37,44.0
omen,maps,mix,work,38,44.0
omen,maps,mix,work,39,43.0
omen,maps,mix,work,4,43.0
omen,maps,mix,work,40,43.0
omen,maps,mix,work,41,43.0
omen,maps,mix,work,42,43.0
omen,maps,mix,work,43,43.0
omen,maps,mix,work,44,44.0
omen,maps,mix,work,45,45.0
omen,maps,mix,work,46,45.0
omen,maps,mix,work,47,44.0
omen,maps,mix,work,48,42.0
omen,maps,mix,work,49,43.0
omen,maps,mix,work,5,43.0
omen,maps,mix,work,50,47.0
omen,maps,mix,work,51,44.0
omen,maps,mix,work,52,44.0
omen,maps,mix,work,53,45.0
omen,maps,mix,work,54,43.0
omen,maps,mix,work,55,45.0
omen,maps,mix,work,56,44.0
omen,maps,mix,work,57,44.0
omen,maps,mix,work,58,43.0
omen,maps,mix,work,59,45.0
omen,maps,mix,work,6,42.0
omen,maps,mix,work,60,43.0
omen,maps,mix,work,61,45.0
omen,maps,mix,work,62,43.0
omen,maps,mix,work,63,44.0
omen,maps,mix,work,64,42.0
omen,maps,mix,work,7,43.0
